Result, First, Second
-1, 116, 193
-1, 51, 170
1, 113, 43
-1, 113, 26
1, 176, 97
1, 102, 133
1, 93, 107
-1, 83, 183
1, 100, 155
-1, 15, 147
1, 95, 100
1, 6, 169
1, 175, 185
-1, 161, 160
0, 129, 102
-1, 107, 33
-1, 193, 118
1, 164, 165
1, 148, 122
-1, 0, 77
1, 15, 126
1, 52, 123
-1, 147, 131
-1, 98, 139
-1, 141, 153
-1, 73, 87
-1, 106, 193
0, 145, 135
0, 157, 52
-1, 122, 25
1, 91, 181
1, 152, 23
0, 137, 66
-1, 52, 62
1, 77, 86
-1, 77, 147
-1, 139, 115
-1, 166, 172
0, 88, 131
1, 35, 99
-1, 15, 127
1, 105, 135
-1, 38, 163
0, 132, 27
1, 96, 61
-1, 6, 185
-1, 154, 47
-1, 33, 123
-1, 79, 119
1, 47, 136
1, 33, 170
1, 128, 72
-1, 59, 42
-1, 98, 38
-1, 110, 180
1, 165, 155
-1, 63, 109
1, 94, 170
1, 44, 55
0, 60, 139
1, 190, 170
1, 195, 140
-1, 45, 86
-1, 97, 91
0, 37, 91
-1, 8, 17
1, 98, 7
-1, 136, 111
1, 45, 181
-1, 163, 13
1, 176, 111
-1, 150, 53
0, 17, 180
-1, 110, 159
0, 178, 44
0, 146, 69
1, 173, 156
-1, 50, 174
1, 15, 142
1, 194, 12
1, 43, 89
0, 166, 114
1, 56, 92
0, 171, 188
-1, 139, 135
0, 155, 143
1, 111, 79
1, 0, 141
0, 49, 148
-1, 80, 120
0, 173, 62
0, 107, 22
1, 43, 148
0, 184, 81
-1, 79, 176
0, 80, 49
1, 107, 0
0, 47, 41
1, 94, 99
1, 139, 87
-1, 87, 60
1, 44, 51
-1, 142, 50
-1, 160, 19
1, 107, 154
1, 95, 6
1, 118, 119
1, 3, 161
-1, 60, 80
-1, 82, 98
-1, 186, 191
-1, 94, 59
1, 193, 114
-1, 145, 43
-1, 36, 6
1, 114, 112
1, 134, 138
-1, 128, 28
-1, 148, 111
-1, 75, 91
-1, 63, 136
-1, 51, 151
-1, 49, 169
0, 171, 178
-1, 82, 66
-1, 123, 101
1, 114, 170
1, 35, 182
-1, 111, 148
1, 181, 43
-1, 185, 81
-1, 39, 43
-1, 124, 191
-1, 17, 126
0, 137, 34
0, 39, 138
0, 30, 175
1, 141, 171
0, 134, 167
0, 189, 71
-1, 161, 86
0, 111, 25
0, 138, 115
0, 114, 71
1, 56, 10
1, 57, 169
1, 150, 184
-1, 186, 84
-1, 24, 92
1, 17, 14
-1, 43, 187
0, 172, 24
-1, 19, 33
-1, 101, 4
-1, 38, 77
1, 135, 0
1, 104, 121
1, 138, 116
-1, 51, 108
-1, 187, 70
1, 32, 156
1, 38, 133
0, 188, 68
1, 193, 167
1, 167, 39
-1, 45, 165
-1, 33, 159
0, 131, 34
1, 37, 12
-1, 70, 27
1, 154, 189
-1, 175, 20
0, 134, 111
-1, 114, 25
1, 182, 138
-1, 126, 20
1, 94, 33
-1, 96, 30
1, 71, 161
1, 91, 89
1, 116, 22
1, 115, 156
-1, 79, 183
-1, 138, 106
-1, 80, 121
-1, 101, 120
-1, 1, 25
-1, 182, 170
-1, 22, 85
-1, 152, 49
1, 184, 186
-1, 138, 96
-1, 62, 146
-1, 113, 188
-1, 148, 132
-1, 183, 132
1, 53, 124
1, 132, 95
-1, 173, 179
1, 27, 115
1, 129, 12
-1, 127, 75
1, 53, 38
1, 176, 3
-1, 81, 138
-1, 155, 146
1, 195, 180
1, 49, 79
-1, 78, 135
-1, 16, 26
1, 127, 11
1, 127, 182
1, 94, 83
-1, 160, 12
1, 48, 97
-1, 86, 118
1, 116, 158
1, 141, 41
-1, 174, 100
1, 107, 3
1, 113, 177
-1, 63, 158
-1, 9, 141
-1, 84, 56
1, 177, 21
-1, 34, 153
-1, 28, 61
1, 115, 192
0, 56, 59
0, 88, 133
1, 50, 165
0, 31, 95
-1, 3, 34
-1, 111, 182
1, 81, 63
1, 31, 56
1, 64, 78
1, 195, 87
1, 86, 142
-1, 83, 102
1, 134, 74
1, 180, 92
1, 85, 12
1, 144, 139
1, 91, 158
1, 124, 45
1, 123, 65
1, 146, 70
1, 163, 127
1, 55, 151
1, 51, 155
1, 82, 67
1, 46, 137
1, 8, 153
1, 4, 28
1, 132, 60
1, 143, 133
1, 14, 137
1, 87, 98
-1, 40, 130
1, 188, 141
1, 159, 82
1, 0, 103
-1, 149, 32
-1, 171, 104
0, 12, 120
-1, 62, 42
1, 127, 79
1, 145, 150
-1, 123, 98
-1, 9, 29
1, 158, 81
1, 0, 97
1, 163, 102
-1, 74, 137
1, 32, 195
-1, 43, 24
0, 40, 20
1, 84, 187
-1, 114, 25
1, 108, 7
1, 152, 127
-1, 51, 149
1, 154, 57
1, 115, 190
1, 143, 157
1, 173, 11
-1, 40, 136
-1, 22, 167
-1, 121, 6
1, 159, 122
-1, 70, 194
